word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
:occupants,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:absorbed,2,1,2,0,0,0,4,0,3,0,0,0,0,0,0,0,0
:desire,4,1,1,2,6,2,0,5,1,4,0,2,1,2,0,5,0
:pass,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0
:other,7,6,12,9,15,6,7,2,4,6,8,7,5,13,5,15,5
:which,21,26,20,21,50,21,26,25,8,38,18,20,26,18,28,30,30
:cannot,3,7,3,0,1,7,3,2,0,6,0,3,3,6,4,2,2
:account,1,0,2,0,0,1,1,1,0,0,0,0,0,1,0,4,2
:minds,1,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,0
:wander,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
:preoccupation,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:happen,1,0,0,0,2,0,1,0,1,1,0,0,2,1,1,0,3
:occasionally,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:themselves,3,3,6,4,6,4,1,2,3,5,1,3,1,3,3,6,6
:driving,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
:unutterable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:boredom,3,0,2,0,0,4,0,0,0,0,2,40,0,0,0,0,0
:seizes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:upon,5,12,12,7,13,1,9,5,8,6,8,3,8,1,7,6,6
:them,8,7,18,11,27,3,5,7,2,6,14,10,8,7,12,22,11
:stamps,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
:features,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
:trivial,1,0,1,0,4,0,2,1,0,0,1,0,0,0,1,0,0
:discontent,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
:once,1,1,2,0,0,1,1,0,0,0,0,1,2,1,2,1,1
:way,4,5,4,3,2,1,0,4,3,1,1,3,6,7,3,3,8
:load,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:coloured,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:show,1,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,2
:genuine,4,5,1,1,0,1,0,1,5,1,3,0,0,0,0,3,0
:enjoyment,2,1,0,0,0,0,0,0,0,0,4,0,1,1,2,0,1
:indignation,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
:erratic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
:behaviour,1,0,1,0,3,0,0,0,0,0,0,1,1,3,1,0,1
:ultimately,2,0,0,1,0,0,0,1,0,0,1,2,2,0,0,0,1
:into,1,4,3,3,3,0,3,4,0,6,2,5,7,2,5,4,2
:hands,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
:police,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:owing,2,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,2
:holiday,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
:time,1,4,6,0,2,4,4,7,2,5,4,7,12,2,13,6,3
:illegal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:again,1,3,2,1,1,0,2,0,0,5,0,3,2,0,1,2,0
:watch,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
:gay,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
:come,2,1,5,4,5,3,0,1,0,6,0,4,0,1,1,3,3
:determined,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:kind,6,8,4,10,6,4,1,10,5,6,3,8,10,2,4,8,6
:grim,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
:resolve,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:determines,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:fuss,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
:dentist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:s,6,5,7,1,22,3,7,2,3,13,7,10,9,6,8,5,4
:held,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
:drink,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0
:petting,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:gateways,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:joy,1,7,1,1,3,3,1,0,1,0,0,4,0,0,0,0,0
:drunk,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
:quickly,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
:try,1,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0
:notice,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:much,1,5,5,5,11,6,6,4,3,5,7,10,13,9,6,4,10
:partners,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:disgust,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
:sufficient,3,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1
:amount,1,0,1,1,1,2,0,2,0,1,0,1,3,0,1,1,0
:begin,1,0,1,0,1,2,1,1,0,0,0,0,0,1,1,1,1
:weep,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:lament,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:unworthy,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
:morally,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
:devotion,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
:mothers,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
:alcohol,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
:does,3,4,6,6,8,5,1,2,2,7,13,1,4,3,6,6,0
:liberate,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
:sense,7,3,3,6,3,0,6,1,4,4,3,1,0,1,23,2,1
:sin,9,0,0,0,1,0,0,0,3,1,0,0,0,1,29,0,0
:reason,1,4,2,1,4,2,0,0,2,6,0,1,1,2,17,6,3
:suppresses,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:saner,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:moments,1,1,2,1,0,1,0,1,0,0,0,3,2,0,10,0,0
:causes,2,1,2,3,5,3,1,1,2,2,1,0,2,2,3,2,2
:various,4,0,0,1,0,0,1,0,0,4,2,0,0,0,1,0,1
:lie,2,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1
:partiy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:social,3,0,6,1,2,0,0,0,0,1,3,1,1,5,0,1,9
:system,5,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0
:partly,3,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0
:individual,3,0,1,0,4,0,4,1,0,3,2,0,1,1,2,2,1
:psychology,2,0,0,0,1,0,0,0,0,0,1,0,2,0,2,0,0
:itself,1,0,2,2,1,4,3,0,1,6,4,0,0,1,2,0,0
:considerable,1,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,2
:extent,1,1,5,0,2,0,0,0,1,0,0,1,3,0,0,1,1
:product,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
:written,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
:before,3,2,3,0,3,0,1,1,1,3,2,0,3,2,3,0,0
:changes,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
:required,1,0,0,0,2,1,0,4,0,1,0,1,1,0,0,0,1
:promote,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:happiness,10,37,5,5,17,9,3,5,11,5,4,1,6,10,10,1,10
:concerning,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
:abolition,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:war,3,3,3,0,0,0,0,1,1,3,0,1,1,0,0,0,0
:economic,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
:exploitation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:education,2,2,0,0,3,1,2,0,1,1,2,0,0,1,5,0,0
:cruelty,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
:fear,2,1,1,12,1,0,0,0,4,1,2,3,14,2,5,0,19
:my,9,11,3,0,2,0,0,3,0,6,2,2,4,8,3,4,1
:intention,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
:speak,2,1,0,2,0,1,1,0,0,0,0,1,2,0,1,2,0
:volume,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
:discover,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
:avoidance,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
:vital,1,1,0,1,0,0,0,0,0,1,0,4,0,0,0,0,1
:need,2,1,2,3,5,1,0,5,1,1,0,2,3,3,1,0,3
:our,3,7,7,0,7,2,11,0,5,12,2,5,6,6,8,8,7
:civlisation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:no,17,12,16,9,26,8,8,10,3,20,7,7,13,10,19,12,7
:such,6,8,12,10,10,7,11,8,7,8,8,7,9,6,11,10,10
:chance,1,0,1,0,0,0,0,0,0,0,2,1,0,1,1,0,3
:while,1,4,4,5,5,5,5,3,2,3,3,6,2,2,2,3,7
:mutual,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
:extermination,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:seems,1,1,3,1,2,1,1,1,0,1,0,0,0,2,1,0,1
:less,3,7,8,5,8,6,2,4,4,4,2,5,9,2,2,4,3
:dreadful,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
:than,5,17,9,18,22,13,10,9,3,8,9,13,5,14,6,9,13
:continued,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
:endurance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:light,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
:prevent,1,0,0,0,4,0,0,0,1,0,2,0,1,0,2,1,0
:perpetuation,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:poverty,1,0,1,0,1,0,0,1,0,1,3,0,0,0,0,0,0
:necessary,1,1,4,3,8,2,2,4,0,2,1,3,1,0,5,3,7
:benefits,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
:machine,1,6,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
:production,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
:accrue,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:any,10,11,13,7,14,9,8,2,2,9,8,3,5,7,10,8,13
:degree,1,2,2,0,1,0,1,0,0,0,0,1,0,0,1,7,2
:use,2,1,1,1,3,0,3,0,1,0,1,0,0,0,3,0,0
:making,1,1,2,0,1,0,3,0,0,1,0,0,2,0,1,1,1
:everybody,1,1,1,0,0,0,0,0,0,0,2,2,1,0,1,4,1
